company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
SHRIRAMFIN,Mar 2013,20.87,31.09,19.94,5.35,3.09,4.55,0.71,0.15,-8400.0,41.0,12.0,64.65,11.0,33386.0,-8359.0,,,,36.13
SHRIRAMFIN,Mar 2014,16.02,23.58,15.96,4.24,2.59,4.54,0.47,0.16,-4167.0,112.0,11.0,74.98,12.0,38630.0,-4055.0,,,,28.86
SHRIRAMFIN,Mar 2015,11.2,18.43,11.09,3.02,1.65,5.04,0.36,0.15,-9656.0,45.0,8.0,81.64,22.0,46695.0,-9611.0,,,,20.16
SHRIRAMFIN,Mar 2016,11.43,17.61,11.64,3.04,1.74,4.89,0.36,0.15,-5543.0,36.0,9.0,89.66,19.0,49790.0,-5507.0,,,,20.97
SHRIRAMFIN,Mar 2017,11.61,18.09,11.17,3.06,1.7,4.68,0.38,0.15,-2679.0,2.0,10.0,99.84,7.0,53080.0,-2677.0,,,,20.33
SHRIRAMFIN,Mar 2018,18.88,28.18,18.62,3.97,2.62,6.0,0.61,0.14,-13056.0,86.0,20.0,120.62,10.0,82131.0,-13142.0,14.01,11.74,10.76,48.34
SHRIRAMFIN,Mar 2019,16.58,24.47,16.14,3.66,2.44,5.51,0.51,0.15,-5611.0,76.0,20.0,140.64,11.0,87914.0,-5535.0,12.88,13.66,12.7,46.34
SHRIRAMFIN,Mar 2020,15.17,21.53,13.85,3.16,2.2,5.22,0.43,0.14,-2519.0,55.0,20.0,159.84,5.0,94735.0,-2464.0,12.53,19.57,20.11,44.54
SHRIRAMFIN,Mar 2021,14.34,19.53,11.51,2.65,1.92,4.91,0.38,0.13,-4264.0,25.0,18.0,171.68,18.0,106546.0,-4239.0,10.96,16.11,14.87,40.12
SHRIRAMFIN,Mar 2022,14.13,19.04,10.43,2.6,1.91,4.4,0.38,0.14,-8893.0,34.0,20.0,192.58,20.0,114846.0,-8859.0,12.05,16.54,14.87,40.08
SHRIRAMFIN,Mar 2023,19.74,28.86,13.84,4.24,2.86,3.77,0.68,0.14,-12549.0,5076.0,32.0,232.68,22.0,164202.0,-17625.0,17.69,18.75,9.86,48.08
SHRIRAMFIN,Mar 2024,20.33,28.92,15.12,4.3,2.98,3.99,0.68,0.15,-31359.0,258.0,39.0,260.36,23.0,195496.0,-31101.0,18.56,23.49,14.29,49.42
SHRIRAMFIN,TTM,23.72,28.64,,,,,0.77,,,,50.0,,,,,,,,0.0
SIEMENS,Sep 2011,7.26,9.8,22.75,30.69,8.54,0.0,56.54,1.18,267.0,264.0,,112.24,24.0,0.0,3.0,,,,85.71
SIEMENS,Sep 2014,5.65,1.11,13.78,2.72,5.86,0.0,35.61,1.04,738.0,130.0,17.0,123.24,35.0,0.0,608.0,,,,66.43
SIEMENS,Sep 2015,11.11,9.45,22.94,19.41,11.1,0.0,64.7,1.0,1220.0,646.0,33.0,144.14,30.0,25.0,574.0,,,,91.87
SIEMENS,Sep 2016,26.89,9.42,42.83,14.95,24.31,0.0,379.73,0.9,750.0,237.0,82.0,191.63,41.0,25.0,513.0,-1.94,27.41,,71.75
SIEMENS,Sep 2017,10.28,9.54,14.79,13.73,8.65,0.0,234.25,0.84,1894.0,1321.0,32.0,216.62,22.0,0.0,573.0,,,,76.46
SIEMENS,Sep 2018,7.04,10.37,10.86,15.99,6.28,0.0,200.88,0.89,-74.0,174.0,25.0,233.77,28.0,0.0,100.0,,,,68.5
SIEMENS,Sep 2019,8.4,11.39,12.14,16.47,7.16,0.0,157.33,0.85,138.0,1135.0,31.0,254.9,23.0,0.0,1273.0,4.15,12.76,12.77,75.52
SIEMENS,Sep 2020,7.73,10.08,8.1,10.57,4.85,0.0,43.93,0.63,1591.0,871.0,22.0,267.38,32.0,0.0,720.0,-1.2,-8.11,-7.79,48.07
SIEMENS,Sep 2021,8.25,11.0,10.52,14.03,6.04,0.0,73.88,0.73,-967.0,2389.0,31.0,291.46,26.0,4.0,1422.0,4.02,-17.87,-17.68,58.57
SIEMENS,Sep 2022,9.56,11.53,13.29,15.77,7.67,0.02,65.19,0.8,944.0,34.0,43.0,327.04,23.0,182.0,978.0,7.84,6.3,6.09,69.5
SIEMENS,Sep 2023,10.03,12.72,14.99,18.75,9.06,0.01,129.7,0.9,641.0,759.0,55.0,368.65,18.0,175.0,1400.0,8.85,16.84,17.08,84.69
SIEMENS,Sep 2024,12.22,13.96,17.7,19.85,10.74,0.02,67.15,0.88,1168.0,502.0,76.0,432.59,16.0,279.0,1670.0,11.19,19.85,19.64,89.84
SUNPHARMA,Mar 2013,31.17,42.98,23.14,31.37,17.02,0.02,109.16,0.55,982.0,2375.0,14.0,144.13,9.0,260.0,3357.0,,,,99.57
SUNPHARMA,Mar 2014,24.12,43.55,20.94,33.21,13.33,0.14,114.43,0.55,1783.0,2176.0,15.0,89.49,10.0,2561.0,3959.0,,,,100.0
SUNPHARMA,Mar 2015,19.99,28.82,21.36,22.79,11.24,0.35,14.12,0.56,4114.0,1502.0,22.0,123.86,14.0,8996.0,5616.0,,,,100.0
SUNPHARMA,Mar 2016,19.86,28.69,17.15,19.71,10.21,0.26,15.55,0.51,2737.0,3949.0,19.0,136.86,5.0,8497.0,6686.0,,,,95.51
