company_id,year,ratio_name,value,status,formula,source_tables,classification,formula_version,timestamp
ADANIENSOL,Mar 2014,ROCE,0.0,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2014,ROA,,NON_POSITIVE_ASSETS,PAT / Total Assets * 100,profitandloss + balancesheet,N/A,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,NPM,-5.34,VALID,Net Profit / Sales * 100,profitandloss,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,OPM,77.1,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,ROE,-0.65,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,ROCE,0.94,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2015,ROA,-0.06,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,NPM,16.77,VALID,Net Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,OPM,87.83,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,ROE,13.77,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,ROCE,17.12,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,GOOD,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2016,ROA,3.13,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2017,NPM,14.46,VALID,Net Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2017,OPM,68.95,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2017,ROE,14.12,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2017,ROCE,16.63,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,GOOD,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2017,ROA,3.25,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2018,NPM,28.98,VALID,Net Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2018,OPM,71.65,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2018,ROE,18.87,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,GOOD,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2018,ROCE,17.14,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,GOOD,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2018,ROA,6.62,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2019,NPM,7.65,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2019,OPM,38.03,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2019,ROE,6.95,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2019,ROCE,9.86,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2019,ROA,1.72,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2020,NPM,6.18,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2020,OPM,37.3,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2020,ROE,8.31,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2020,ROCE,13.0,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2020,ROA,1.78,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2021,NPM,13.0,VALID,Net Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2021,OPM,39.79,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2021,ROE,14.46,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2021,ROCE,10.97,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2021,ROA,2.98,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2022,NPM,10.98,VALID,Net Profit / Sales * 100,profitandloss,GOOD,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2022,OPM,37.36,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2022,ROE,12.47,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2022,ROCE,10.56,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2022,ROA,2.6,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2023,NPM,9.64,VALID,Net Profit / Sales * 100,profitandloss,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2023,OPM,33.99,VALID,Operating Profit / Sales * 100,profitandloss,EXCELLENT,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2023,ROE,10.9,VALID,PAT / (Equity + Reserves) * 100,profitandloss + balancesheet,AVERAGE,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2023,ROCE,9.82,VALID,EBIT / Capital Employed * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
ADANIENSOL,Mar 2023,ROA,2.38,VALID,PAT / Total Assets * 100,profitandloss + balancesheet,WEAK,1.0,2026-07-19 11:42:19
